Verb,WindowSize,в/во + LOC,для + GEN,в/во + ACC,у + GEN,на + LOC,о/об/ + LOC,к + DAT,по + DAT,до + GEN,за + INST,с/со + GEN,о/об + LOC,с/со + INST,про + ACC,из + GEN,прежде + GEN,кроме + GEN,на + ACC,возле + GEN,за + ACC,через + ACC,под + INST,между + INST,сквозь + ACC,перед + INST,среди + GEN,против + GEN,от + GEN,при + LOC,без + GEN,согласно + DAT,из-за + GEN,после + GEN,под + ACC,вокруг + GEN,над + INST,помимо + GEN,вместо + GEN,ко + DAT,ради + GEN,с/со + ACC,по + ACC,благодаря + DAT,в/во + NOM,около + GEN,из-под + GEN,NOM,DAT,GEN,ACC,INST,LOC,INFINITIVE
смотреть,-3,1,0,2,2,4,1,1,3,0,1,0,0,4,0,0,0,0,9,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
зайти,-3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
понравиться,-3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
судить,-3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
давать,-3,3,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
пойти,-3,6,0,5,0,0,0,2,3,0,1,2,0,3,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
хотеть,-3,7,1,4,2,0,1,1,1,0,0,0,1,6,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
дать,-3,2,0,3,0,3,0,0,1,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
пользоваться,-3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
бояться,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
